dia,mes,referencia,texto,traducao
205,Julho,Salmos 121:1-2,"Elevo os meus olhos para os montes — de onde me virá o socorro? O meu socorro vem do Senhor; que criou os céus e a terra.",NVI
206,Julho,Efésios 3:16,"Peço que; segundo as riquezas da sua glória; ele os fortaleça com poder; por meio do seu Espírito; no homem interior.",NVI
207,Julho,Isaías 54:17,"Nenhuma arma forjada contra você prosperará; e você confutará toda língua que se levantar contra você em julgamento. Esta é a herança dos servos do Senhor.",NVI
208,Julho,Salmos 138:3,"No dia em que clamei; tu me respondeste; aumentaste as minhas forças.",NVI
209,Julho,Provérbios 28:1,"O ímpio foge; mesmo quando ninguém o persegue; mas o justo; como leão; confia na sua força.",NVI
210,Julho,Atos 4:31,"Depois que oraram; o lugar onde estavam reunidos ficou abalado; todos ficaram cheios do Espírito Santo e pregavam a palavra de Deus com ousadia.",NVI
211,Julho,Salmos 28:7,"O Senhor é a minha força e o meu escudo; o meu coração nele confia; e sou socorrido. Meu coração exulta de alegria; e com o meu canto o glorificarei.",NVI
212,Julho,2 Crônicas 32:8,"Com ele está apenas o braço humano; mas conosco está o Senhor; o nosso Deus; para nos ajudar e para travar as nossas batalhas.",NVI
213,Agosto,Lamentações 3:22-23,"As misericórdias do Senhor não têm fim; as suas bondades não se esgotam. Renovam-se cada manhã; grande é a sua fidelidade!",NVI
214,Agosto,Salmos 36:5,"A tua bondade; Senhor; chega até os céus; a tua fidelidade; até as nuvens.",NVI
215,Agosto,1 Coríntios 10:13,"Nenhuma tentação sobreveio a vocês que não seja comum ao gênero humano. E Deus é fiel; ele não permitirá que vocês sejam tentados além do que podem suportar.",NVI
216,Agosto,Salmos 89:1,"Cantarei para sempre sobre as misericórdias do Senhor; com a minha boca farei conhecida a tua fidelidade a todas as gerações.",NVI
217,Agosto,Hebreus 10:23,"Mantenhamos firme a confissão da nossa esperança; sem vacilar; pois fiel é aquele que prometeu.",NVI
218,Agosto,1 Tessalonicenses 5:24,"Aquele que os chama é fiel; e ele o fará.",NVI
219,Agosto,2 Timóteo 2:13,"Se somos infiéis; ele permanece fiel; pois não pode negar a si mesmo.",NVI
220,Agosto,Salmos 119:90,"A tua fidelidade permanece por todas as gerações; tu fundaste a terra; e ela subsiste.",NVI
221,Agosto,Provérbios 3:3-4,"Nunca te abandones à falta de amor e de fidelidade; prende-as ao pescoço; grava-as na tábua do coração. Assim; gozarás de favor e boa reputação aos olhos de Deus e dos homens.",NVI
222,Agosto,Neemias 9:33,"Em tudo o que nos sobreveio; tu tens sido justo; tu tens agido com fidelidade; e nós agimos com perversidade.",NVI
223,Agosto,Salmos 33:4,"Porque a palavra do Senhor é reta; e todas as suas obras são fiéis.",NVI
224,Agosto,1 João 1:9,"Se confessarmos os nossos pecados; ele é fiel e justo para perdoar os nossos pecados e nos purificar de toda injustiça.",NVI
225,Agosto,Salmos 145:13,"O teu reino é um reino eterno; e o teu domínio prevalece por todas as gerações. O Senhor é fiel em todas as suas promessas e bondoso em todos os seus atos.",NVI
226,Agosto,Deuteronômio 7:9,"Reconheça; portanto; que o Senhor; o seu Deus; é o único Deus verdadeiro. Ele é o Deus fiel; que mantém a aliança e o amor por mil gerações para com os que o amam e guardam os seus mandamentos.",NVI
227,Agosto,Salmos 143:8,"Que eu ouça de manhã o teu amor leal; pois em ti confiei. Faz-me conhecer o caminho que devo seguir; pois a ti elevo a minha alma.",NVI
228,Agosto,Josué 21:45,"Não falhou nenhuma das boas promessas que o Senhor tinha feito à casa de Israel; todas se cumpriram.",NVI
229,Agosto,Salmos 91:4,"Ele o cobrirá com as suas penas; e debaixo das suas asas você encontrará refúgio; a sua fidelidade é escudo e proteção.",NVI
230,Agosto,Miquéias 7:20,"Demonstrarás fidelidade a Jacó e amor leal a Abraão; como juraste a nossos antepassados nos dias de outrora.",NVI
231,Agosto,1 Pedro 4:19,"De modo que os que sofrem segundo a vontade de Deus devem continuar a fazer o bem e confiar-se ao seu fiel Criador.",NVI
232,Agosto,2 Tessalonicenses 3:3,"Mas o Senhor é fiel; ele os fortalecerá e os guardará do Maligno.",NVI
233,Agosto,Salmos 89:8,"Senhor; Deus dos Exércitos; quem como tu é poderoso? A tua fidelidade te rodeia.",NVI
234,Agosto,Hebreus 13:8,"Jesus Cristo é o mesmo ontem; hoje e para sempre.",NVI
235,Agosto,Salmos 117:2,"Porque o seu amor por nós é grande; e a fidelidade do Senhor dura para sempre. Aleluia!",NVI
236,Agosto,João 10:27-28,"As minhas ovelhas ouvem a minha voz; eu as conheço; e elas me seguem. Eu lhes dou a vida eterna; e elas jamais perecerão; ninguém as arrebatará da minha mão.",NVI
237,Agosto,Deuteronômio 32:4,"Ele é a Rocha; e as suas obras são perfeitas; todos os seus caminhos são justos. Deus fiel; sem injustiça; justo e reto é ele.",NVI
238,Agosto,Salmos 37:25,"Fui jovem e agora sou velho; mas nunca vi o justo desamparado; nem seus filhos mendigando pão.",NVI
239,Agosto,Salmos 100:5,"Porque o Senhor é bom; e o seu amor leal dura para sempre; a sua fidelidade permanece por todas as gerações.",NVI
240,Agosto,Romanos 3:4,"De modo algum! Seja Deus verdadeiro e todo homem mentiroso; como está escrito: ""Para que sejas reconhecido como justo nas tuas palavras.""",NVI
241,Agosto,Isaías 49:15-16,"Pode uma mãe esquecer o bebê que amamenta e deixar de compadecer-se do filho que gerou? Ainda que ela esqueça; eu não me esquecerei de você! Veja; gravei você nas palmas das minhas mãos.",NVI
242,Agosto,Números 23:19,"Deus não é homem para que minta; nem filho do homem para que se arrependa. Acaso ele disse e não fará? Prometeu e não cumprirá?",NVI
243,Setembro,Salmos 40:10,"Não encobri a tua justiça no meu coração; proclamei a tua fidelidade e a tua salvação; não ocultei o teu amor e a tua verdade da grande assembleia.",NVI
244,Setembro,Mateus 7:7,"Peçam; e lhes será dado; busquem; e encontrarão; batam; e a porta lhes será aberta.",NVI
245,Setembro,Filipenses 4:6,"Não andem ansiosos por coisa alguma; mas em tudo; pela oração e súplicas; com ações de graças; apresentem seus pedidos a Deus.",NVI
246,Setembro,1 Tessalonicenses 5:17,"Orem continuamente.",NVI
247,Setembro,1 João 5:14-15,"Esta é a confiança que temos ao nos aproximar de Deus: que; se pedirmos alguma coisa segundo a sua vontade; ele nos ouvirá. E; se soubermos que ele nos ouve em tudo o que pedimos; saberemos que já temos o que pedimos.",NVI
248,Setembro,Lucas 18:1,"Jesus contou uma parábola aos seus discípulos para mostrar-lhes que eles deviam orar sempre; sem desanimar.",NVI
249,Setembro,Marcos 11:24,"Portanto; eu lhes digo: tudo o que vocês pedirem em oração; creiam que já o receberam; e assim lhes acontecerá.",NVI
250,Setembro,João 15:7,"Se vocês permanecerem em mim e as minhas palavras permanecerem em vocês; pedirão o que quiserem; e lhes será concedido.",NVI
251,Setembro,Mateus 21:22,"Tudo o que pedirem em oração; se crerem; receberão.",NVI
252,Setembro,2 Crônicas 7:14,"Se o meu povo; que se chama pelo meu nome; humilhar-se; orar e buscar a minha face e se converter dos seus maus caminhos; então eu ouvirei do céu; perdoarei o seu pecado e restaurarei a sua terra.",NVI
253,Setembro,Tiago 5:16,"Portanto; confessem os seus pecados uns aos outros e orem uns pelos outros para que sejam curados. A oração do justo é poderosa e eficaz.",NVI
254,Setembro,Romanos 12:12,"Alegrem-se na esperança; sejam pacientes na tribulação; perseverem na oração.",NVI
255,Setembro,Salmos 145:18,"O Senhor está perto de todos os que o invocam; de todos os que o invocam em verdade.",NVI
256,Setembro,Jeremias 33:3,"Clama a mim; e eu te responderei; e te darei a conhecer grandes e inescrutáveis coisas que você não conhece.",NVI
257,Setembro,Salmos 5:3,"Pela manhã; Senhor; ouves a minha voz; de manhã apresento minha oração a ti e aguardo.",NVI
258,Setembro,Efésios 6:18,"Orando em todo tempo; com toda oração e súplica no Espírito Santo; estando atentos com toda perseverança e súplica por todos os santos.",NVI
259,Setembro,Colossenses 4:2,"Perseverem na oração; estejam alertas e sejam agradecidos.",NVI
260,Setembro,1 Timóteo 2:1,"Exorto; antes de tudo; que se façam súplicas; orações; intercessões e ações de graças por todos os homens.",NVI
261,Setembro,Salmos 66:19-20,"Mas com certeza Deus ouviu; deu atenção à voz da minha oração. Bendito seja Deus; que não rejeitou a minha oração nem me negou o seu amor!",NVI
262,Setembro,Lucas 11:2,"Ele disse: Quando orarem; digam: Pai; santificado seja o teu nome. Venha o teu reino.",NVI
263,Setembro,Salmos 141:2,"Que a minha oração seja aceita como incenso diante de ti; o erguer de minhas mãos; como o sacrifício da tarde.",NVI
264,Setembro,Habacuque 3:2,"Senhor; ouvi a tua fama e me enchi de temor. Ó Senhor; revive a tua obra no decorrer destes anos; torna-a conhecida no decorrer destes anos. Na tua ira; lembra-te da misericórdia.",NVI
265,Setembro,Salmos 34:4,"Busquei o Senhor; e ele me respondeu; livrou-me de todos os meus temores.",NVI
266,Setembro,Isaías 65:24,"Antes que me chamem; eu responderei; ainda estarão falando; e eu já terei ouvido.",NVI
267,Setembro,Salmos 86:7,"No dia da minha angústia clamo a ti; porque tu me respondes.",NVI
268,Setembro,Mateus 26:41,"Vigiem e orem para que não caiam em tentação. O espírito está disposto; mas a carne é fraca.",NVI
269,Setembro,Daniel 9:18,"Deus meu; inclina o teu ouvido e ouve; abre os teus olhos e vê a nossa desolação. Não te suplicamos com base na nossa justiça; mas na tua grande misericórdia.",NVI
270,Setembro,Salmos 102:1,"Ouve a minha oração; Senhor; que o meu clamor chegue até ti.",NVI
271,Setembro,Romanos 8:26,"Da mesma forma; o Espírito nos ajuda em nossa fraqueza; pois não sabemos orar como convém; mas o próprio Espírito intercede por nós com gemidos inexprimíveis.",NVI
272,Setembro,1 Pedro 3:12,"Porque os olhos do Senhor estão sobre os justos; e os seus ouvidos; atentos à oração deles; mas o rosto do Senhor está contra os que fazem o mal.",NVI
273,Outubro,Salmos 17:6,"Invoco-te; pois me ouvirás; ó Deus. Inclina para mim os teus ouvidos; ouve as minhas palavras.",NVI
274,Outubro,1 Tessalonicenses 5:18,"Deem graças em todas as circunstâncias; pois esta é a vontade de Deus para vocês em Cristo Jesus.",NVI
275,Outubro,Salmos 107:1,"Deem graças ao Senhor; porque ele é bom; o seu amor eterno dura para sempre.",NVI
276,Outubro,Colossenses 3:17,"E tudo o que fizerem; seja em palavra ou em ação; façam tudo em nome do Senhor Jesus; dando graças a Deus Pai por meio dele.",NVI
277,Outubro,Efésios 5:20,"Dando sempre graças a Deus Pai por tudo; em nome de nosso Senhor Jesus Cristo.",NVI
278,Outubro,Salmos 100:4,"Entrem pelas suas portas com ação de graças e nos seus átrios com louvor; deem-lhe graças e bendigam o seu nome.",NVI
279,Outubro,Hebreus 13:15,"Por meio de Jesus; pois; ofereçamos sempre a Deus um sacrifício de louvor; que é o fruto dos lábios que confessam o seu nome.",NVI
280,Outubro,Salmos 103:1-2,"Bendize; ó minha alma; ao Senhor; que todo o meu ser bendiga o seu santo nome. Bendize; ó minha alma; ao Senhor; e não te esqueças de nenhum dos seus benefícios.",NVI
281,Outubro,2 Coríntios 9:15,"Graças a Deus pelo seu dom inexprimível!",NVI
282,Outubro,Filipenses 4:11,"Aprendi a contentar-me em qualquer situação em que me encontre.",NVI
283,Outubro,Salmos 92:1,"Como é bom render graças ao Senhor e cantar louvores ao teu nome; ó Altíssimo.",NVI
284,Outubro,1 Crônicas 16:34,"Deem graças ao Senhor; porque ele é bom; o seu amor eterno dura para sempre.",NVI
285,Outubro,Lucas 17:16,"Prostrou-se aos pés de Jesus; dando-lhe graças. E esse homem era samaritano.",NVI
286,Outubro,Salmos 9:1,"Louvarei o Senhor de todo o coração; contarei todas as suas maravilhas.",NVI
287,Outubro,1 Coríntios 15:57,"Mas graças a Deus; que nos dá a vitória por meio de nosso Senhor Jesus Cristo!",NVI
288,Outubro,Salmos 106:1,"Aleluia! Deem graças ao Senhor; porque ele é bom; o seu amor eterno dura para sempre.",NVI
289,Outubro,Salmos 118:24,"Este é o dia que o Senhor fez; regozijemo-nos e alegremo-nos nele.",NVI
290,Outubro,Gálatas 6:9,"Não nos cansemos de fazer o bem; pois; se não desanimarmos; a seu tempo colheremos.",NVI
291,Outubro,Salmos 63:3,"Porque o teu amor é melhor do que a vida; os meus lábios te louvam.",NVI
292,Outubro,1 Timóteo 4:4,"Tudo o que Deus criou é bom; e nada deve ser rejeitado se for recebido com ação de graças.",NVI
293,Outubro,Salmos 50:23,"Quem me oferece graças me honra; ao que ordena o seu caminho; mostrar-lhe-ei a salvação de Deus.",NVI
294,Outubro,Daniel 2:23,"A ti; ó Deus dos meus antepassados; eu louvo e glorifico; porque me deste sabedoria e poder; e me fizeste conhecer o que te pedimos.",NVI
295,Outubro,Romanos 8:32,"Ele que não poupou nem o seu próprio Filho; mas o entregou por todos nós; como não nos dará também; com ele; graciosamente; todas as coisas?",NVI
296,Outubro,Salmos 19:1,"Os céus declaram a glória de Deus; o firmamento proclama a obra das suas mãos.",NVI
297,Outubro,João 6:35,"Então Jesus declarou: Eu sou o pão da vida. Aquele que vem a mim nunca terá fome; e aquele que crê em mim nunca terá sede.",NVI
298,Outubro,Salmos 34:8,"Prove e veja que o Senhor é bom; bem-aventurado o homem que nele se refugia.",NVI
299,Outubro,Efésios 1:3,"Bendito seja o Deus e Pai de nosso Senhor Jesus Cristo; que nos abençoou com todas as bênçãos espirituais nos lugares celestiais em Cristo.",NVI
300,Outubro,Salmos 136:26,"Deem graças ao Deus dos céus; porque o seu amor eterno dura para sempre.",NVI
301,Outubro,Apocalipse 7:12,"Amém! O louvor; a glória; a sabedoria; a gratidão; a honra; o poder e a força sejam ao nosso Deus para todo o sempre. Amém!",NVI
302,Outubro,Salmos 28:7,"O Senhor é a minha força e o meu escudo; o meu coração nele confia; e sou socorrido. Meu coração exulta de alegria; e com o meu canto o glorificarei.",NVI
303,Outubro,Salmos 30:12,"Para que o meu coração cante a tua glória e não se cale. Senhor; meu Deus; te louvarei para sempre.",NVI
304,Novembro,Romanos 11:36,"Porque dele; por meio dele e para ele são todas as coisas. A ele seja a glória para sempre! Amém.",NVI
305,Novembro,2 Coríntios 9:7,"Cada um dê conforme determinou em seu coração; não com pesar ou por obrigação; pois Deus ama quem dá com alegria.",NVI
306,Novembro,Lucas 6:38,"Deem; e lhes será dado; uma boa medida; calcada; sacudida e transbordante lhes será dada. Porque com a medida que usarem será medido a vocês em retorno.",NVI
307,Novembro,Provérbios 11:25,"A pessoa generosa prosperará; quem dá água aos outros terá muita água.",NVI
308,Novembro,1 Timóteo 6:18-19,"Que sejam ricos em boas obras; generosos e prontos para compartilhar. Assim guardarão para si um tesouro como boa base para o futuro; a fim de se apoderarem da verdadeira vida.",NVI
309,Novembro,Mateus 25:35,"Porque tive fome e vocês me deram de comer; tive sede e vocês me deram de beber; fui estrangeiro e vocês me hospedaram.",NVI
310,Novembro,Atos 20:35,"É mais bem-aventurado dar do que receber.",NVI
311,Novembro,2 Coríntios 8:9,"Pois vocês conhecem a graça de nosso Senhor Jesus Cristo; que; embora fosse rico; por amor a vocês se fez pobre; para que pela sua pobreza vocês se tornassem ricos.",NVI
312,Novembro,Provérbios 19:17,"Quem tem compaixão do pobre empresta ao Senhor; e este o recompensará pelo que fez.",NVI
313,Novembro,Salmos 112:5,"Bem vai ao homem bondoso e que empresta com generosidade; ele conduz os seus negócios com justiça.",NVI
314,Novembro,1 João 3:17,"Se alguém que possui bens materiais vê seu irmão em necessidade; mas não tem compaixão dele; como pode o amor de Deus habitar nele?",NVI
315,Novembro,Provérbios 22:9,"O homem de bom coração será abençoado; pois divide o seu pão com os pobres.",NVI
316,Novembro,Gálatas 6:10,"Portanto; enquanto temos oportunidade; façamos o bem a todos; especialmente aos da família da fé.",NVI
317,Novembro,Mateus 5:42,"Dê a quem lhe pedir; e não se recuse a emprestar para quem quiser pedir emprestado.",NVI
318,Novembro,Efésios 4:28,"Quem furtava não furte mais; mas antes trabalhe; fazendo com as próprias mãos o que é bom; para ter o que repartir com o necessitado.",NVI
319,Novembro,Hebreus 13:16,"Não se esqueçam de fazer o bem e de repartir o que têm com os outros; pois esses são os sacrifícios que agradam a Deus.",NVI
320,Novembro,Deuteronômio 15:10,"Dê de bom grado a esse homem e sem coração mesquinho; por causa disto o Senhor; o seu Deus; o abençoará em todo o trabalho e em tudo que fizer.",NVI
321,Novembro,Provérbios 28:27,"Quem dá ao pobre não terá falta; mas quem fecha os olhos para a sua necessidade terá muitas maldições.",NVI
322,Novembro,1 Crônicas 29:14,"Mas quem sou eu; e o que é o meu povo; para que possamos fazer essas ofertas voluntárias? Tudo vem de ti; e do que tu mesmo nos deste; te damos.",NVI
323,Novembro,Romanos 12:13,"Repartam do que têm com os santos que estão em necessidade. Pratiquem a hospitalidade.",NVI
324,Novembro,2 Coríntios 9:8,"Deus pode fazer com que toda a graça transborde para vocês; de modo que em todas as coisas; em todo o tempo; tendo tudo de que precisam; vocês transbordem em toda boa obra.",NVI
325,Novembro,1 Pedro 4:10,"Cada um coloque a serviço dos outros o dom que recebeu; como bons administradores da multiforme graça de Deus.",NVI
326,Novembro,Mateus 6:3-4,"Mas quando você der esmolas; que a sua mão esquerda não saiba o que a direita está fazendo; para que a sua esmola seja feita em segredo. Então seu Pai; que vê o que é feito em segredo; o recompensará.",NVI
327,Novembro,Provérbios 21:26,"Todo o dia ele fica desejando; mas o justo dá e não retém.",NVI
328,Novembro,Tiago 2:17,"Assim também a fé; por si só; se não for acompanhada de obras; é morta.",NVI
329,Novembro,Salmos 41:1,"Bem-aventurado aquele que cuida do fraco; o Senhor o livrará no dia do mal.",NVI
330,Novembro,Provérbios 3:27-28,"Não negues o bem a quem é devido; quando estiver em teu poder fazê-lo. Não digas ao teu próximo: Vai e volta; amanhã te darei — quando o tens contigo.",NVI
331,Novembro,Lucas 3:11,"João respondeu: Quem tem duas túnicas reparta com quem não tem; e quem tem comida faça o mesmo.",NVI
332,Novembro,Salmos 37:21,"O ímpio pede emprestado e não paga; mas o justo tem compaixão e dá.",NVI
333,Novembro,Isaías 58:7,"Não é partilhar o teu pão com o faminto; e abrigar em casa os pobres sem lar? Não é vestir o nu quando o encontras e não te esquivar do teu semelhante?",NVI
334,Dezembro,Provérbios 14:31,"Quem oprime o pobre insulta o seu Criador; mas quem tem bondade para com os necessitados honra a Deus.",NVI
335,Dezembro,João 1:14,"E o Verbo se fez carne e habitou entre nós; e nós vimos a sua glória; glória como do Unigênito do Pai; cheio de graça e de verdade.",NVI
336,Dezembro,Isaías 9:6,"Pois nos nasceu um menino; um filho nos foi dado; o governo está sobre seus ombros; e seu nome é Maravilhoso Conselheiro; Deus Forte; Pai Eterno; Príncipe da Paz.",NVI
337,Dezembro,Lucas 2:10-11,"Mas o anjo disse-lhes: Não temam! Estou trazendo-lhes uma boa notícia que será motivo de grande alegria para todo o povo: Hoje; na cidade de Davi; nasceu para vocês um Salvador; que é Cristo; o Senhor.",NVI
338,Dezembro,Mateus 1:23,"A virgem ficará grávida e dará à luz um filho; e o chamarão Emanuel — que significa ""Deus conosco"".",NVI
339,Dezembro,Isaías 7:14,"Portanto; o próprio Senhor lhes dará um sinal: a virgem conceberá e dará à luz um filho; e o chamarão Emanuel.",NVI
340,Dezembro,Lucas 1:37,"Porque nada é impossível para Deus.",NVI
341,Dezembro,João 8:12,"Jesus disse: Eu sou a luz do mundo. Quem me segue não andará nas trevas; mas terá a luz da vida.",NVI
342,Dezembro,Tito 2:13-14,"Enquanto aguardamos a bendita esperança; o aparecimento da glória do nosso grande Deus e Salvador; Jesus Cristo; que se entregou por nós para nos resgatar de toda impiedade.",NVI
343,Dezembro,Lucas 2:14,"Glória a Deus nas alturas e paz na terra aos homens a quem ele quer bem!",NVI
344,Dezembro,João 1:4-5,"Nele estava a vida; e a vida era a luz dos homens. A luz resplandece nas trevas; e as trevas não a dominaram.",NVI
345,Dezembro,Isaías 60:1,"Levanta-te; resplandece; pois a tua luz veio; e a glória do Senhor raia sobre ti!",NVI
346,Dezembro,Mateus 5:14,"Vocês são a luz do mundo. Não se pode esconder uma cidade construída sobre um monte.",NVI
347,Dezembro,Filipenses 2:7,"Mas esvaziou-se a si mesmo; tomando a natureza de servo; tornando-se semelhante aos seres humanos.",NVI
348,Dezembro,João 3:16-17,"Porque Deus amou o mundo de tal maneira que deu o seu Filho unigênito; para que todo o que nele crer não pereça; mas tenha a vida eterna. Pois Deus enviou o seu Filho ao mundo não para condenar o mundo; mas para salvá-lo.",NVI
349,Dezembro,Apocalipse 22:16,"Eu; Jesus; enviei o meu anjo para dar a vocês este testemunho para as igrejas. Eu sou a raiz e a descendência de Davi; a estrela da manhã que resplandece.",NVI
350,Dezembro,Colossenses 1:15-16,"O Filho é a imagem do Deus invisível; o primogênito de toda a criação. Pois nele foram criadas todas as coisas nos céus e na terra.",NVI
351,Dezembro,Hebreus 1:3,"O Filho é o resplendor da glória de Deus e a expressão exata do seu ser; sustentando todas as coisas pela sua palavra poderosa.",NVI
352,Dezembro,1 João 4:9-10,"Assim Deus demonstrou o seu amor entre nós: enviou o seu Filho unigênito ao mundo para que vivêssemos por meio dele. O amor está nisso: não fomos nós que amamos a Deus; mas ele nos amou e enviou seu Filho.",NVI
353,Dezembro,Gálatas 4:4-5,"Mas; quando chegou a plenitude do tempo; Deus enviou seu Filho; nascido de mulher; nascido debaixo da lei; para resgatar os que estavam debaixo da lei; a fim de recebermos a adoção de filhos.",NVI
354,Dezembro,Isaías 53:5,"Mas ele foi traspassado por causa das nossas transgressões e esmagado por causa das nossas iniquidades; o castigo que nos traz a paz estava sobre ele; e pelas suas feridas fomos curados.",NVI
355,Dezembro,Lucas 2:52,"E Jesus crescia em sabedoria; estatura e graça diante de Deus e dos homens.",NVI
356,Dezembro,João 1:16,"Porque de sua plenitude todos nós recebemos; e graça sobre graça.",NVI
357,Dezembro,2 Coríntios 8:9,"Pois vocês conhecem a graça de nosso Senhor Jesus Cristo; que; embora fosse rico; por amor a vocês se fez pobre; para que pela sua pobreza vocês se tornassem ricos.",NVI
358,Dezembro,Mateus 2:2,"Onde está aquele que nasceu rei dos judeus? Vimos a sua estrela no Oriente e viemos adorá-lo.",NVI
359,Dezembro,Lucas 2:7,"E ali deu à luz o seu filho primogênito; envolveu-o em panos e o deitou numa manjedoura; pois não havia lugar para eles na hospedaria.",NVI
360,Dezembro,João 1:12,"Mas a todos que o receberam; aos que creram em seu nome; deu-lhes o direito de se tornarem filhos de Deus.",NVI
361,Dezembro,João 10:10,"O ladrão vem apenas para roubar; matar e destruir; eu vim para que tenham vida e a tenham plenamente.",NVI
362,Dezembro,Mateus 2:11,"Ao entrar na casa; viram o menino com Maria; sua mãe; e se prostraram e o adoraram. Então abriram os seus tesouros e lhe apresentaram como dádivas ouro; incenso e mirra.",NVI
363,Dezembro,Romanos 6:23,"Pois o salário do pecado é a morte; mas o dom gratuito de Deus é a vida eterna em Cristo Jesus; nosso Senhor.",NVI
364,Dezembro,Isaías 11:1,"Um broto brotará do tronco de Jessé; um rebento de suas raízes dará fruto.",NVI
365,,João 3:16,"Porque Deus amou o mundo de tal maneira que deu o seu Filho unigênito; para que todo o que nele crer não pereça; mas tenha a vida eterna.",NVI
